"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP11-1035H13.3",7.4329282557951,3.15986943589635,0.354982602010586,8.90147691182375,5.51084257841953e-19,1.12051962147004e-14
"HDLBP",106.029138657925,0.685008327207616,0.0836843829008135,8.18561723780073,2.70911504808505e-16,2.3852341885114e-12
"PVRL2",27.3602184401301,0.896866619708276,0.109990281353339,8.15405332792206,3.51925567576561e-16,2.3852341885114e-12
"MRPL17",26.9871456059485,0.640835933177881,0.0799945662587747,8.0109932855294,1.13785662104551e-15,5.08631162017268e-12
"TOMM40",26.6262836392393,0.504807034783103,0.0631059878348748,7.99935239273963,1.25075286976164e-15,5.08631162017268e-12
"CALR",349.269093061599,0.62373703849242,0.0784566140935063,7.95008866618992,1.86378072200973e-15,5.41375048866053e-12
"P4HB",207.017432805364,0.775295597120163,0.0973133614572605,7.96700047670913,1.62572037770346e-15,5.41375048866053e-12
"LMNA",59.7843695498243,0.803334720543295,0.101693407371862,7.8995752163731,2.79855518038622e-15,7.0474089036124e-12
"PCOLCE",29.319042594456,1.44948070364338,0.183803487661106,7.88603481951282,3.11939606219012e-15,7.0474089036124e-12
"TACC3",14.2911712107644,1.13623502325306,0.144414569802182,7.86786973647787,3.60730893050005e-15,7.33474124838575e-12
"TMSB10",1334.15246911124,1.00318615530218,0.127789950931873,7.85027420377516,4.15128633663726e-15,7.67346409844049e-12
"DNAJB11",51.6611948227159,0.639731066022903,0.0819548403050085,7.80589729224093,5.90796804666918e-15,8.58047959235175e-12
"IL8",21.620756713553,2.91728990238133,0.373290606676715,7.81506378730774,5.49352027165197e-15,8.58047959235175e-12
"SON",115.305808236706,0.975456594719618,0.124694526320877,7.82276996032265,5.16734822473275e-15,8.58047959235175e-12
"KDELR1",62.5170667993465,0.681832112679585,0.088085549586681,7.74056716316023,9.89743022281922e-15,1.34162965813722e-11
"COL6A3",12.1693022327868,2.4628705541622,0.319142922141594,7.71713982448747,1.18969120025201e-14,1.51187444842026e-11
"BAI3",14.5586257755654,-0.945596320785612,0.123520218167297,-7.65539710677069,1.92715797049954e-14,2.30499429495101e-11
